place_id,name,address,category,rating,first_seen,location
ChIJhd3BQEmxbTkRklY1_w4_Qfk,Govindam Retreat,"First Floor, All Rajasthan Shilp Gram Udyog, Rajamal Ka Talab Rd, near Govind Dev Ji Temple, above All Rajasthan Shilp Gram Udyog, Gangori Bazaar, Brahampuri, Kanwar Nagar, Jaipur, Rajasthan 302002, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJOVIF1Ae0bTkRg3MHB2cyUzM,Peacock Restaurant,"51, Hathroi Fort, Hari Kishan Somani Marg, near Native Cocktail bar, Ajmer Rd, Rajasthan 302001, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJ0RfdzAK0bTkRIyPIfI-iC7s,Suvarna Mahal,"RAMBAGH PALACE, Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",North Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
ChIJq-hS0ge0bTkR0t1j7jAFLRE,Kalyan Restaurant & Bar,"59 Hathroi Fort Hari Kishan Somani Marg, Ajmer Rd, near Vidhayakpuri Police Station, Jaipur, Rajasthan 302001, India",Restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJ5-vZ4RC0bTkRWCbn8KM5MZM,Monarch Restaurant,"Holiday Inn, Sardar Patel Marg, Shivaji Nagar, Bais Godam, Jaipur, Rajasthan 302001, India",Indian restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJQzuEigK0bTkRnCgFaNHJOiU,Thali And More,"1st floor plot no, C 46, Sarojini Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJZUcetEmxbTkRvMs924QeR94,Hawk View Restaurant & Bar,"76, Raja Mal Ka Talab, behind Kale Hanuman Ji Temple, Chandi Ki Taksal, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Biryani restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJTZ9GZeG1bTkRjwWOpO2l29Q,Spice Court,"Jacob Rd, Mysore House/Achrol House Colony, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",Indian restaurant,4.2,2026-06-08 13:55,Jaipur Rajasthan
ChIJl27kVN-1bTkR0smwHHQHVR0,Skyfall Restaurant,"5th Floor, Ridhi Tower, SB 57, Tonk Rd, opposite Sawai Mansingh Stadium, Bapu Nagar, Jaipur, Rajasthan 302015, India",Restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJERP0VLG2bTkRrVzfUlilTMg,Handi restaurant jaipur,"Mirza Ismail Rd, opp. GPO, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Restaurant,4.1,2026-06-08 13:55,Jaipur Rajasthan
ChIJ14Rijwa0bTkRrR4f8zPo_CI,Jaipur Modern - Store & Kitchen,"51, Dhuleshwar Garden, Sardar Patel Marg, near Kotak Bank, C Scheme, Jaipur, Rajasthan 302001, India",Continental restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJT3MOnV20bTkRyuRHXFTBYOs,The Eclectica Cafe & Restaurant,"F-1B, New Sanganer Rd, opposite Metro Pillar 100, Shyam Nagar, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4,2026-06-08 13:55,Jaipur Rajasthan
ChIJt6MuCPezbTkROAcfvKk6EpU,The Forresta Kitchen & Bar,"Devraj Niwas, Mirza Ismail Rd, near Shri Amarapur Setu, Bani Park, Jaipur, Rajasthan 302006, India",Brewpub,4.2,2026-06-08 13:55,Jaipur Rajasthan
ChIJv2UuYfizbTkRK-fmlwPlKOs,Topaz & Sangria,"Hotel Natraj, Ganpati Plaza, Motilal Atal Rd, Jaipur, Rajasthan 302001, India",North Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
ChIJF2p4XHTJbTkRKyRQfp2o8Bc,House of Han,"InterContinental, Tonk Rd, Tonk Road, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India",Chinese restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJ6YmcEQq1bTkR34kfLFAlgIk,Annpoornam - Best South Indian Restaurant In Jaipur,"Ground Floor, Moondra Tower, Plot No 012A, Ashok Marg, near Ahinsa Circle, Patrakar Colony, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",South Indian restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJr6wHJgy0bTkRWlnPE7es48Y,Marble Arch,"JAI MAHAL PALACE, Jacob Rd, near Science Park, Civil Lines, Jaipur, Rajasthan 302006, India",North Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
ChIJCzu_tPa1bTkRJkZd9igi0IE,Rustic - Inspired Kitchen,"G-3, Ground Floor, UKMS, AURUM, Tilak Marg, near CBI office, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302005, India",North Indian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
ChIJX4ca8fezbTkRGxmWlwmZ2FQ,Dragon House,"Mirza Ismail Rd, Khasa, Kothi Circle, Jaipur, Rajasthan 302001, India",Chinese restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
ChIJXRlMFgy0bTkRW4M1mjb-pJc,Giardino,"Ground Floor, Jacob Rd, near Bharat peroleum, Civil Lines, Jaipur, Rajasthan 302006, India",Italian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
ChIJCdQTjvGzbTkRsqeE7EgeijM,Rajasthani Thali Dal Bati Churma,"Gayatri Sadan, AC-4, Sawai Jai Singh Hwy, near Collectorate Circle, Bani Park, Jaipur, Rajasthan 302028, India",Rajasthani restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJE_whhgu0bTkRCdE1GKpE8Zc,Meraaki Kitchen,"Near Civil Lines Metro Station Piller No. 88, 27, Ajmer Rd, Madrampur, Jaipur, Rajasthan 302006, India",Indian restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJWVJSCbOxbTkRPRUWGDirEmI,1135 AD,"Amber Palace, 1135 AD, Jaleb Chowk, Devisinghpura, Jaipur, Rajasthan 302028, India",Fine dining restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
ChIJbdOLmwW0bTkRR8rR9Dxa6uA,Chao Chinese Bistro,"Holiday Inn, Sardar Patel Marg, Shivaji Nagar, Bais Godam, Jaipur, Rajasthan 302001, India",Chinese restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJO-MTKTy3bTkRSl7cYKa0gK0,Tapri Central,"Rooftop B4-E, Prithviraj Rd, opposite Surana Jewelers, opposite Central Park Gate, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Tea house,4.5,2026-06-08 13:55,Jaipur Rajasthan
ChIJOVFzTnW1bTkREtyCQydsj9M,Jeypore Cafe and Restaurant Vaishali Nagar,"D-4, Vaishali Marg, near Crossland Hyundai, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021, India",North Indian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
ChIJhXebGBe0bTkRkE8j1hFdOAQ,Café Bae,"A/1, 21, Sahkar Marg, Circle, near 22 Godown, C Scheme, Jaipur, Rajasthan 302006, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
