name,address,category,rating,found_at,location
Govindam Retreat,"First Floor, All Rajasthan Shilp Gram Udyog, Rajamal Ka Talab Rd, near Govind Dev Ji Temple, above All Rajasthan Shilp Gram Udyog, Gangori Bazaar, Brahampuri, Kanwar Nagar, Jaipur, Rajasthan 302002, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Peacock Restaurant,"51, Hathroi Fort, Hari Kishan Somani Marg, near Native Cocktail bar, Ajmer Rd, Rajasthan 302001, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Suvarna Mahal,"RAMBAGH PALACE, Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",North Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
Kalyan Restaurant & Bar,"59 Hathroi Fort Hari Kishan Somani Marg, Ajmer Rd, near Vidhayakpuri Police Station, Jaipur, Rajasthan 302001, India",Restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
Monarch Restaurant,"Holiday Inn, Sardar Patel Marg, Shivaji Nagar, Bais Godam, Jaipur, Rajasthan 302001, India",Indian restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
Thali And More,"1st floor plot no, C 46, Sarojini Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Hawk View Restaurant & Bar,"76, Raja Mal Ka Talab, behind Kale Hanuman Ji Temple, Chandi Ki Taksal, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Biryani restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
Spice Court,"Jacob Rd, Mysore House/Achrol House Colony, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",Indian restaurant,4.2,2026-06-08 13:55,Jaipur Rajasthan
Skyfall Restaurant,"5th Floor, Ridhi Tower, SB 57, Tonk Rd, opposite Sawai Mansingh Stadium, Bapu Nagar, Jaipur, Rajasthan 302015, India",Restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
Handi restaurant jaipur,"Mirza Ismail Rd, opp. GPO, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Restaurant,4.1,2026-06-08 13:55,Jaipur Rajasthan
Jaipur Modern - Store & Kitchen,"51, Dhuleshwar Garden, Sardar Patel Marg, near Kotak Bank, C Scheme, Jaipur, Rajasthan 302001, India",Continental restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
The Eclectica Cafe & Restaurant,"F-1B, New Sanganer Rd, opposite Metro Pillar 100, Shyam Nagar, Jaipur, Rajasthan 302019, India",Vegetarian restaurant,4,2026-06-08 13:55,Jaipur Rajasthan
The Forresta Kitchen & Bar,"Devraj Niwas, Mirza Ismail Rd, near Shri Amarapur Setu, Bani Park, Jaipur, Rajasthan 302006, India",Brewpub,4.2,2026-06-08 13:55,Jaipur Rajasthan
Topaz & Sangria,"Hotel Natraj, Ganpati Plaza, Motilal Atal Rd, Jaipur, Rajasthan 302001, India",North Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
House of Han,"InterContinental, Tonk Rd, Tonk Road, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India",Chinese restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
Annpoornam - Best South Indian Restaurant In Jaipur,"Ground Floor, Moondra Tower, Plot No 012A, Ashok Marg, near Ahinsa Circle, Patrakar Colony, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",South Indian restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
Marble Arch,"JAI MAHAL PALACE, Jacob Rd, near Science Park, Civil Lines, Jaipur, Rajasthan 302006, India",North Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
Rustic - Inspired Kitchen,"G-3, Ground Floor, UKMS, AURUM, Tilak Marg, near CBI office, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302005, India",North Indian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
Dragon House,"Mirza Ismail Rd, Khasa, Kothi Circle, Jaipur, Rajasthan 302001, India",Chinese restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Giardino,"Ground Floor, Jacob Rd, near Bharat peroleum, Civil Lines, Jaipur, Rajasthan 302006, India",Italian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
Rajasthani Thali Dal Bati Churma,"Gayatri Sadan, AC-4, Sawai Jai Singh Hwy, near Collectorate Circle, Bani Park, Jaipur, Rajasthan 302028, India",Rajasthani restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
Meraaki Kitchen,"Near Civil Lines Metro Station Piller No. 88, 27, Ajmer Rd, Madrampur, Jaipur, Rajasthan 302006, India",Indian restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
1135 AD,"Amber Palace, 1135 AD, Jaleb Chowk, Devisinghpura, Jaipur, Rajasthan 302028, India",Fine dining restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
Chao Chinese Bistro,"Holiday Inn, Sardar Patel Marg, Shivaji Nagar, Bais Godam, Jaipur, Rajasthan 302001, India",Chinese restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
Tapri Central,"Rooftop B4-E, Prithviraj Rd, opposite Surana Jewelers, opposite Central Park Gate, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Tea house,4.5,2026-06-08 13:55,Jaipur Rajasthan
Jeypore Cafe and Restaurant Vaishali Nagar,"D-4, Vaishali Marg, near Crossland Hyundai, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021, India",North Indian restaurant,4.8,2026-06-08 13:55,Jaipur Rajasthan
Café Bae,"A/1, 21, Sahkar Marg, Circle, near 22 Godown, C Scheme, Jaipur, Rajasthan 302006, India",Restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Okra,"Near, Ashram Marg, Jawahar Circle, Jaipur, Rajasthan 302015, India",North Indian restaurant,4.3,2026-06-08 13:55,Jaipur Rajasthan
Baradari Restaurant & Bar,"Gate No 2, Jaleb Chowk, near, City palace Rd, Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, India",Bar & grill,4,2026-06-08 13:55,Jaipur Rajasthan
Ratnika - A Vegetarian Restaurant,"Ratnawali - A Vegetarian Heritage Hotel, B-12, Mirza Ismail Rd, near Paanch Batti, Jayanti Market, New Colony, Jaipur, Rajasthan 302001, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
Royal Recipes Restaurant,"Royal recipes, Amer Rd, Parasrampuri, Jaipur, Rajasthan 302002, India",North Indian restaurant,4.4,2026-06-08 13:55,Jaipur Rajasthan
Niros Restaurant,"Shop No 73, Sharma building, 319, Mirza Ismail Rd, Panch Batti, C Scheme, New Colony, Jaipur, Rajasthan 302001, India",Non vegetarian restaurant,4.1,2026-06-08 13:55,Jaipur Rajasthan
Kesar Restaurant,"Kala Hanuman Rd, near Teja Ji Temple, opp. Jalmahal, Ramgarhmode, Parasrampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.6,2026-06-08 13:55,Jaipur Rajasthan
Steam,"Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302015, India",Restaurant,4.5,2026-06-08 13:55,Jaipur Rajasthan
THE ROBOT RESTAURANT JAIPUR - THE YELLOW HOUSE | Best Chinese and Indian Restaurant In Jaipur,"next to Raj Mandir Cinema, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",North Indian restaurant,3.7,2026-06-08 13:55,Jaipur Rajasthan
RajRasa,"S-20,21, Nagar Nigam Colony, Amer Rd, Santosh Sagar Colony, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002, India",Indian restaurant,4.7,2026-06-08 13:55,Jaipur Rajasthan
